Metier_DCF_2021;Metier_DCF_2009-2020;UNIPESCOD
DRB_MOL_>0_0_0;DRB_MOL_0_0_0;
FPO_CRU_>0_0_0;FPO_CRU_0_0_0;
FPO_FIF_>0_0_0;FPO_FIF_0_0_0;
FPO_MOL_>0_0_0;FPO_MOL_0_0_0;
GND_SPF_31-39_0_0;GND_SPF_<40_0_0;
GNS_DEF_>=220_0_0;GNS_DEF_>=100_0_0;RASCO_CN
GNS_DEF_100-119_0_0;GNS_DEF_>=100_0_0;ENMALLE_AC
GNS_DEF_120-219_0_0;GNS_DEF_120-219_0_0;
GNS_DEF_50-59_0_0;GNS_DEF_50-59_0_0;
GNS_DEF_60-69_0_0;GNS_DEF_60-79_0_0;
GNS_DEF_90-99_0_0;GNS_DEF_80-99_0_0;
GTR_DEF_50-59_0_0;GTR_DEF_50-59_0_0;
GTR_DEF_60-69_0_0;GTR_DEF_60-79_0_0;
HMD_MOL_>0_0_0;HMD_MOL_0_0_0;
LHM_CEP_0_0_0;LHM_CEP_0_0_0;
LHM_DEF_0_0_0;LHM_DEF_0_0_0;
LHM_DWS_0_0_0;LHM_DWS_0_0_0;
LHM_SPF_0_0_0;LHM_SPF_0_0_0;
LLS_DEF_0_0_0;LLS_DEF_0_0_0;
LLS_DWS_0_0_0;LLS_DWS_0_0_0;
OTB_DEF_100-119_0_0;OTB_DEF_100-119_0_0;
OTB_DEF_70-99_0_0;OTB_DEF_>=55_0_0;
OTB_DEF_70-99_0_0;OTB_DEF_>=70_0_0;
OTB_DEF_70-99_0_0;OTB_DEF_70-99_0_0;
OTB_MCD_55-64_0_0;OTB_MCD_>=55_0_0;
OTB_MPD_55-64_0_0;OTB_MPD_>=55_0_0;
PS_SPF_>0_0_0;PS_SPF_0_0_0;
PTB_MPD_55-64_0_0;PTB_MPD_>=55_0_0;
SDN_MCF_55-64_0_0;SDN_MCF_<55_0_0;
TBB_MOL_55-64_0_0;TBB_MOL_<55_0_0;
