"ESPCOD","CIENTIFICO","APHIAID","AL3","ESPSIRENO"
"30356","Abralia veranyi","139688","BLJ","Abralia veranyi"
"60316","Actinia","100694","","Actinia spp"
"20611","Aegaeon cataphractus","107548","","Aegaeon cataphractus"
"30358","Anadara gibbosa","504350","NDV","Anadara gibbosa"
"20136","Anapagurus laevis","107218","NIJ","Anapagurus laevis"
"10374","Anthias anthias","127031","AHN","Anthias anthias"
"10757","Arnoglossus thori","127128","RNH","Arnoglossus thori"
"20148","Atelecyclus rotundatus","107273","IGY","Atelecyclus rotundatus"
"40011","Brissopsis lyrifera","124373","ZDG","Brissopsis lyrifera"
"10618","Callionymus maculatus","126793","YHC","Callionymus maculatus"
"11217","Ceratoscopelus maderensis","126585","MCD","Ceratoscopelus maderensis"
"31314","Charonia tritonis","141102","KRN","Charonia tritonis"
"20080","Chlorotocus crassicornis","107642","HLQ","Chlorotocus crassicornis"
"20523","Derilambrus angulifrons","442260","","Derilambrus angulifrons"
"13427","Dipturus batis","105869","","Dipturus flossada"
"20596","Ethusa mascarone","107283","","Ethusa mascarone"
"61065","Frondipora verrucosa","221575","","Frondipora verrucosa"
"10272","Gaidropsarus biscayensis","126452","GGY","Gaidropsarus biscayensis"
"31055","Galeodea rugosa","139024","KDH","Galeodea rugosa"
"10216","Gnathophis mystax","126287","GXP","Gnathophis mystax"
"40321","Gracilechinus acutus","532031","USD","Gracilechinus acutus"
"10109","Gymnura altavela","105856","RGL","Gymnura altavela"
"10306","Hippocampus","1525460","HIC","Hippocampus spp"
"20623","Ilia nucleus","107303","","Ilia nucleus"
"30175","Illex","138278","ILL","Illex spp"
"13582","Kyphosus incisor","126955","KYI","Kyphosus incisor"
"21002","Maja","106909","JCX","Maja spp"
"20548","Majidae","106760","DZM","Majidae"
"40092","Molpadiidae","123196","","Molpadiidae"
"30104","Mytilus edulis","140480","MUS","Mytilus edulis"
"11199","Ophichthus rufus","126316","OOR","Ophichthus rufus"
"10068","Oxynotus centrina","105914","OXY","Oxynotus centrina"
"10511","Pagrus caeruleostictus","127062","BSC","Pagrus caeruleostictus"
"20115","Palaemon serratus","107616","CPR","Palaemon serratus"
"20093","Pandalus","107044","PAN","Pandalus spp"
"30271","Polititapes aureus","246150","","Paphia aurea"
"30099","Pecten maximus","140712","SCE","Pecten maximus"
"10354","Perciformes","11014","PPX","Perciformes"
"10582","Percophis brasiliensis","282218","FLA","Percophis brasiliensis"
"20608","Pisa","106912","","Pisa spp"
"20009","Pollicipes pollicipes","106177","PCB","Pollicipes pollicipes"
"10724","Pontinus kuhlii","127240","POI","Pontinus kuhlii"
"20159","Portunus","106930","CRS","Portunus spp"
"10481","Pseudotolithus senegallus","273787","CKL","Pseudotolithus senegallus"
"30044","Pteria hirundo","140891","EHJ","Pteria hirundo"
"20006","Rissoides desmaresti","136135","","Rissoides desmaresti"
"20991","Rissoides pallidus","136136","","Rissoides pallidus"
"10166","Salvelinus alpinus","127188","","Salmo trutta trutta"
"10718","Scorpaena elongata","127242","EZS","Scorpaena elongata"
"30241","Sepiolidae","11725","","Sepiolidae"
"10427","Seriola","125944","AMX","Seriola spp"
"10871","Setarches guentheri","127258","SVG","Setarches guentheri"
"20605","Spinolambrus macrochelos","442337","","Spinolambrus macrochelos"
"21158","Squilla","136113","","Squilla spp"
"10663","Thunnus obesus","127028","BET","Thunnus obesus"
"10581","Trachinus araneus","127081","TZA","Trachinus araneus"
"10728","Trigla","126180","GUY","Trigla spp"
"30189","Eledone cirrhosa","140600","EOI","Eledone cirrhosa"
"30190","Eledone moschata","140601","EDT","Eledone moschata"
"10156","Engraulis encrasicolus","126426","ANE","Engraulis encrasicolus"
"10403","Epigonus telescopus","126858","EPI","Epigonus telescopus"
"10380","Epinephelus","126068","","Epinephelus"
"10379","Epinephelus marginatus","127036","GPD","Epinephelus marginatus"
"10061","Etmopterus pusillus","105912","ETP","Etmopterus pusillus"
"10062","Etmopterus spinax","105913","ETX","Etmopterus spinax"
"10655","Euthynnus alletteratus","127017","LTA","Euthynnus alletteratus"
"10737","Eutrigla gurnardus","150637","GUG","Eutrigla gurnardus"
"10251","Gadiculus argenteus","126435","","Gadiculus argenteus argenteus"
"10255","Gadus morhua","126436","COD","Gadus morhua"
"10271","Gaidropsarus","125743","","Gaidropsarus"
"10414","Trachurus trachurus","126822","HOM","Trachurus trachurus"
"10298","Trachyrincus scabrus","126482","TSU","Trachyrincus scabrus"
"13356","Trachyscorpia cristulata","127256","TJX","Trachyscorpia cristulata"
"10710","Trachyscorpia echinata","127257","TZY","Trachyscorpia echinata"
"10633","Trichiurus lepturus","127089","LHT","Trichiurus lepturus"
"10729","Trigla lyra","127266","GUN","Trigla lyra"
"10726","Triglidae","125598","GUX","Triglidae"
"10273","Trisopterus","125739","","Trisopterus"
"10276","Trisopterus luscus","126445","BIB","Trisopterus luscus"
"10275","Trisopterus minutus","126446","POD","Trisopterus minutus"
"10468","Umbrina","126055","","Umbrina"
"10471","Umbrina canariensis","127011","UCA","Umbrina canariensis"
"10469","Umbrina cirrosa","127012","COB","Umbrina cirrosa"
"10472","Umbrina ronchus","127013","UMO","Umbrina ronchus"
"10583","Uranoscopus scaber","127093","UUC","Uranoscopus scaber"
"10673","Xiphias gladius","127094","SWO","Xiphias gladius"
"10321","Zenopsis conchifer","127426","JOS","Zenopsis conchifer"
"10796","Zeugopterus regius","236488","","Zeugopterus regius"
"10320","Zeus faber","127427","JOD","Zeus faber"
"10980","Bathyraja spinicauda","105868","RJQ","Bathyraja spinicauda"
"10999","Notacanthus","125840","","Notacanthus spp"
"11524","Harriotta raleighana","105829","HCR","Harriotta raleighana"
"11848","Ammodytes dubius","151520","","Ammodytes dubius"
"12085","Hemitripterus americanus","159518","","Hemitripterus americanus"
"12275","Myoxocephalus octodecemspinosus","159520","MXO","Myoxocephalus octodecemspinosus"
"12534","Lycodes polaris","127111","","Lycodes polaris"
"12846","Lipogenys gillii","158559","NNL","Lipogenys gillii"
"20074","Aristaeopsis edwardsiana","240796","SSH","Aristaeopsis edwardsiana"
"20151","Cancer","106876","","Cancer spp"
"20233","Chionoecetes opilio","107315","CRQ","Chionoecetes opilio"
"20767","Hyas coarctatus","107323","MVH","Hyas coarctatus"
